Ledger ID,Chapter,Battlefield Function,NPC,CR,Role,Class Lens,Faction,Mechanic Family,Actual Spells,Text File
BLM-061,01_Dark_Elves,Temple and Court Support,Velvet Shrine Page,1/8,Support,Cleric (Nhalyss Initiate),Court Behind the Face / Nhalyss,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/Temple_and_Court_Support/Velvet_Shrine_Page.txt
BLM-062,01_Dark_Elves,Temple and Court Support,Cleric of Nhalyss,8,Controller,Cleric (Trickery Domain),Court Behind the Face / Nhalyss,identity and recognition,Yes,VTT_Statblocks/01_Dark_Elves/Temple_and_Court_Support/Cleric_of_Nhalyss.txt
BLM-063,01_Dark_Elves,Temple and Court Support,Unfading Chalice Vintner,12,Support,Cleric (Life Domain),Unwithering Court / Velisara,resource and debt,Yes,VTT_Statblocks/01_Dark_Elves/Temple_and_Court_Support/Unfading_Chalice_Vintner.txt
BLM-064,01_Dark_Elves,Temple and Court Support,Master of Revel,15,Leader,Bard (College of Glamour),Court Behind the Face / Nhalyss,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/Temple_and_Court_Support/Master_of_Revel.txt
BLM-065,01_Dark_Elves,Temple and Court Support,Hierophant of Nhalyss,22,Controller,Cleric (Trickery Domain),Court Behind the Face / Nhalyss,identity and recognition,Yes,VTT_Statblocks/01_Dark_Elves/Temple_and_Court_Support/Hierophant_of_Nhalyss.txt
BLM-066,01_Dark_Elves,Soldiers and Oathbound,Obsidian Host Battlemaster,8,Soldier,Fighter (Battle Master),Obsidian Host,transformation and stance,No,VTT_Statblocks/01_Dark_Elves/Soldiers_and_Oathbound/Obsidian_Host_Battlemaster.txt
BLM-067,01_Dark_Elves,Soldiers and Oathbound,Eight-Knot Oathkeeper,9,Leader,Paladin (Oath of the Crown),Patient Threads / Selythra,information and prediction,No,VTT_Statblocks/01_Dark_Elves/Soldiers_and_Oathbound/Eight_Knot_Oathkeeper.txt
BLM-068,01_Dark_Elves,Soldiers and Oathbound,Sable Thread Ascetic,9,Skirmisher,Monk (Way of Shadow),Patient Threads / Selythra,pursuit and escape,No,VTT_Statblocks/01_Dark_Elves/Soldiers_and_Oathbound/Sable_Thread_Ascetic.txt
BLM-069,01_Dark_Elves,Soldiers and Oathbound,Obsidian Host Eldritch Knight,17,Soldier,Fighter (Eldritch Knight),Obsidian Host,transformation and stance,Yes,VTT_Statblocks/01_Dark_Elves/Soldiers_and_Oathbound/Obsidian_Host_Eldritch_Knight.txt
BLM-070,01_Dark_Elves,Soldiers and Oathbound,Courtesy Saint of the Last Breath,19,Ambusher,Paladin (Oath of Vengeance),Red Etiquette / Nereza,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/Soldiers_and_Oathbound/Courtesy_Saint_of_the_Last_Breath.txt
BLM-071,01_Dark_Elves,Ambushers and Hunters,Whisper-Court Initiate,1,Ambusher,Rogue (Inquisitive),Choir Below Speech / Vaelith,spell disruption,No,VTT_Statblocks/01_Dark_Elves/Ambushers_and_Hunters/Whisper_Court_Initiate.txt
BLM-072,01_Dark_Elves,Ambushers and Hunters,Courtesy Venomist,3,Ambusher,Rogue (Assassin),Red Etiquette / Nereza,identity and recognition,No,VTT_Statblocks/01_Dark_Elves/Ambushers_and_Hunters/Courtesy_Venomist.txt
